"","gameId","playId","return_x","return_s","return_a","return_zone","def1_dist","def1_s","def1_a","def2_dist","def2_s","def2_a","def3_dist","def3_s","def3_a","def4_dist","def4_s","def4_a","def5_dist","def5_s","def5_a","def6_dist","def6_s","def6_a","def7_dist","def7_s","def7_a","def8_dist","def8_s","def8_a","def9_dist","def9_s","def9_a","def10_dist","def10_s","def10_a","def11_dist","def11_s","def11_a","def1_zone","def2_zone","def3_zone","def4_zone","def5_zone","def6_zone","def7_zone","def8_zone","def9_zone","def10_zone","def11_zone","def1_side","def2_side","def3_side","def4_side","def5_side","def6_side","def7_side","def8_side","def9_side","def10_side","def11_side","playDirection","returnDirectionIntended","returnDirectionActual","quarter","yardlineTotal","receiveTeamScoreDif","kickLength","kickReturnYardage","receiveTeamHome","off2_dist","off2_s","off2_a","off3_dist","off3_s","off3_a","off4_dist","off4_s","off4_a","off5_dist","off5_s","off5_a","off6_dist","off6_s","off6_a","off7_dist","off7_s","off7_a","off8_dist","off8_s","off8_a","off9_dist","off9_s","off9_a","off10_dist","off10_s","off10_a","off11_dist","off11_s","off11_a","series","surface","temp","wind","missedTackler","tackler","assistTackler","vises","season","week","kickContactType","gameDate","gameTimeEastern","homeTeamAbbr","visitorTeamAbbr","playDescription","yardsToGo","possessionTeam","kickerId","returnerId","gameClock","penaltyCodes","penaltyJerseyNumbers","penaltyYards","playResult","weather","ep","epa","punt_returner_player_name","punter_player_name","roof","home_coach","away_coach","XGBpreds","NNpreds","OFFpreds","ENS_AVGpreds","yard_dif"
"1",2018090600,1989,27.2,1.59,0.72,"4",11.0329551798238,8.77,2.12,20.6648711585628,9.37,1.52,21.1436988249455,6.04,3.72,21.692701537614,9.24,1.61,23.9363865276278,9.31,1.38,32.020001561524,9.89,1.45,33.2307809116789,8.81,1.08,33.4050849422659,7.86,2.06,35.7032169418947,6.9,1,36.3022203177712,7.94,1.05,49.3428819587993,6.72,1.07,"4","5","7","8","8","7","8","8","8","8","11","L","C","L","C","C","L","C","C","C","C","C","right","C","C","2",26,-3,57,8,"1",18.0453789098484,2.66,3.21,19.9403635874575,8.56,3.85,20.8718782096868,5.39,4.06,21.9398381944808,8.97,1.24,24.4893650387265,9.17,1.56,31.3968151251046,6.96,3.32,32.9586361975128,9.38,1.2,33.8068706034735,9.1,2.01,34.6667621793556,6.77,2.77,35.1511664102345,7.55,1.52,22,"grass",81,8,"ATL 83","ATL 34","","PHI 29; PHI 37; PHI 32","2018",1,"CC","09/06/2018","20:20:00","PHI","ATL","(:44) M.Bosher punts 57 yards to PHI 17, Center-J.Overbaugh. D.Sproles to PHI 25 for 8 yards (B.Poole). PENALTY on PHI-L.Reynolds, Unnecessary Roughness, 12 yards, enforced at PHI 25.",8,"ATL",37267,29957,"00:44:00","UNR","PHI 50",12,61,"Cloudy Temp: 81° F, Humidity: 71%, Wind: NNW 8 mph",-0.424294505501166,0.345005558338016,"D.Sproles","M.Bosher","outdoors","Doug Pederson","Dan Quinn",5.0935640335083,5.917630329743,8.38435173034668,6.46518203119933,1.53481796880067
"2",2018090600,2599,37.43,1.58,4.03,"4",5.0081932870048,7.42,2.61,8.54131722862463,7.98,3.74,17.4577260833134,8.74,1.35,21.846189599104,8.98,0.93,22.7322370214636,8.16,1.6,23.9350475244985,9.14,1.29,27.0448701235558,8.93,0.55,27.3112522598287,9.37,2.05,27.5642231887641,8.39,1.31,28.2171738485625,8.09,1.35,43.8261987856579,6.67,0.56,"4","4","7","8","8","7","8","7","8","8","11","L","L","L","C","C","L","C","L","C","C","C","right","C","C","3",26,-3,46,9,"1",5.01303301405445,7.01,2.37,8.47826633221674,8.32,4.32,11.6987606181168,8.95,2.52,17.5076697478562,8.86,0.99,23.2418007047647,8.24,2.13,26.8077190376205,7.78,1.76,27.1537290256789,8.84,1.78,29.7330254094668,8.19,1.07,29.917339453902,9.03,1.08,43.1862871754449,8.39,1.51,27,"grass",81,8,"ATL 85","ATL 54","","PHI 29; PHI 37; PHI 32","2018",1,"CC","09/06/2018","20:20:00","PHI","ATL","(10:22) M.Bosher punts 46 yards to PHI 28, Center-J.Overbaugh. D.Sproles to PHI 37 for 9 yards (F.Oluokun).",16,"ATL",37267,29957,"10:22:00","","",NA,37,"Cloudy Temp: 81° F, Humidity: 71%, Wind: NNW 8 mph",-1.87507586041465,-0.326264982111752,"D.Sproles","M.Bosher","outdoors","Doug Pederson","Dan Quinn",4.50861310958862,9.14609396438101,8.38435173034668,7.3463529347721,1.6536470652279
"3",2018090600,366,46.89,1.38,3.2,"4",20.5131591911144,9.88,1.54,23.1041316651373,8.94,6.8,24.8713188230942,8.67,2.71,25.6437906714277,8.65,1.03,26.1138220105752,8.18,1.93,31.1119414373324,7.94,2.46,33.1782473919283,6.81,0.88,33.1899322084273,8.6,1.25,41.6722881541199,7.88,1.07,46.5878310291432,8.39,0.53,51.6878951012711,7.54,2.75,"8","7","8","8","10","11","9","11","12","11","13","C","L","C","C","L","C","R","C","R","C","L","right","C","R","1",8,0,56,5,"0",23.2181179254478,9.28,1.92,24.303962639866,8.95,1.6,26.2146542986933,7.71,2.16,28.014947795775,7.78,3.23,28.9518565898631,7.11,3.57,32.4913173017039,7.99,1.99,32.9414784124817,7.17,3.21,33.3474631718816,5.77,0.49,41.272870023782,7.8,0.72,51.3713149529969,6.59,2.66,5,"grass",81,8,"PHI 57","PHI 54","","ATL 83; ATL 27; ATL 34; ATL 21","2018",1,"CC","09/06/2018","20:20:00","PHI","ATL","(9:20) C.Johnston punts 56 yards to ATL 36, Center-R.Lovato. J.Hardy to ATL 41 for 5 yards (K.Grugier-Hill). PENALTY on PHI-S.Gibson, Unsportsmanlike Conduct, 15 yards, enforced at ATL 41.",4,"PHI",45603,42450,"09:20:00","UNSd","PHI 18",-15,36,"Cloudy Temp: 81° F, Humidity: 71%, Wind: NNW 8 mph",-2.11727083288133,-0.758654222590849,"J.Hardy","C.Johnston","outdoors","Doug Pederson","Dan Quinn",7.36079120635986,11.124772826911,8.38435173034668,8.95663858787252,-3.95663858787252
"4",2018090600,3868,29.7,2.4,1.34,"5",5.00548698929485,8.94,2.8,5.79773231531088,6.81,3.92,26.6218500484095,8.95,1.05,26.9400705270049,8.18,2.49,31.2314536965541,8.7,1.27,35.9130853589607,8.24,1.27,36.5679695908865,7.99,0.71,41.1068777700277,8.19,1.01,42.8571067618896,7.5,0.9,43.3936228033567,9.04,0.86,47.5083845231555,6.12,0.34,"5","5","8","8","8","8","9","8","8","11","11","C","C","C","C","C","C","R","C","C","C","C","left","C","R","4",29,-2,52,12,"1",5.61680514171536,6.97,3.26,8.14521331826245,5.71,3.99,28.8304908040082,7.42,1.44,35.0439495491019,8.54,1.18,38.6877784319544,8.69,0.67,41.8516248191154,7.46,0.32,48.1813376734187,6.18,0.78,49.5645286470072,7.38,1.11,52.6119615676891,3.62,0.31,55.2293988741503,1.51,0.31,41,"grass",81,8,"ATL 17","ATL 85","","PHI 29; PHI 32","2018",1,"CC","09/06/2018","20:20:00","PHI","ATL","(5:04) M.Bosher punts 52 yards to PHI 19, Center-J.Overbaugh. D.Sproles to PHI 31 for 12 yards (E.Saubert; K.Ishmael). PENALTY on ATL-E.Saubert, Face Mask (15 Yards), 15 yards, enforced at PHI 31.",14,"ATL",37267,29957,"05:04:00","FMM","ATL 85",-15,25,"Cloudy Temp: 81° F, Humidity: 71%, Wind: NNW 8 mph",-1.13554637786001,-1.10727853374556,"D.Sproles","M.Bosher","outdoors","Doug Pederson","Dan Quinn",5.53430557250977,9.70604996855442,8.38435173034668,7.87490242380362,4.12509757619638
"5",2018090900,1136,40.12,3.04,2.86,"5",11.7739415660177,8.74,3.14,12.7284130982617,9.22,3.25,16.2497046126999,9.26,2.11,28.3246623986942,8.06,1.27,29.2922173964348,7.83,1.1,41.8405126641632,7.95,1.39,46.0406787525988,7.12,0.92,50.093019473775,5.1,1.21,51.9649112382577,5.86,1.28,55.8508334763233,2.74,2.54,56.7414460513653,3.13,0.67,"7","8","8","8","8","10","11","11","11","11","14","L","C","C","C","C","L","C","C","C","C","C","right","L","L","2",22,14,49,51,"1",12.9606867102017,7.69,2.73,14.3000734263849,8.69,1.51,19.0108442737297,8.48,1.86,38.1857565068443,6.9,1.29,40.770122639011,7.02,0.51,49.0082493056016,6.08,0.16,50.3540673630244,6.08,0.2,52.7882988928418,6.73,0.24,53.3335504162249,4.39,0.97,54.8149468667078,3.77,3.81,14,"grass",61,12,"BUF 30; BUF 50; BUF 69","BUF 57","","BAL 28; BAL 26","2018",1,"CC","09/09/2018","13:00:00","BAL","BUF","(14:21) (Punt formation) C.Bojorquez punts 49 yards to BAL 29, Center-R.Ferguson. J.Grant to BUF 20 for 51 yards (L.Alexander).",13,"BUF",46903,46532,"14:21:00","","",NA,-2,"Rain Temp: 61° F, Humidity: 97%, Wind: ENE 12 mph",-2.12909283628687,-2.54936075484147,"J.Grant","C.Bojorquez","outdoors","John Harbaugh","Sean McDermott",6.16487646102905,2.02296511355834,8.38435173034668,5.52406443497803,45.475935565022
"6",2018090900,1360,39.46,1.45,4.06,"5",4.84332530396216,8.02,3.33,19.9846441049122,7.81,1.34,21.832205568838,9.54,1.54,21.9384684971399,7.76,2.05,22.1823465846154,8.76,1.91,22.1906579442792,7.47,2.46,24.8949251856679,8.77,1.33,25.5193260099087,6.89,2.48,29.5879384209174,8.55,2.24,31.908381344092,3.49,1.92,45.5337237660177,4.64,1.16,"5","8","8","8","8","8","8","8","7","7","11","C","C","C","C","C","C","C","C","L","L","C","right","C","C","2",21,17,50,1,"1",6.57525664898337,6.21,4.14,16.6941696409255,5.23,3.62,20.0653183378685,7.7,1.5,21.9685684558644,7.74,1.53,25.2754782348426,7.64,0.82,26.6641800924011,8,1.61,31.143533839306,3.38,2.23,31.4549996026069,8.79,1.38,31.4566113877512,2.73,2.42,42.019806044293,7.92,1.65,16,"grass",61,12,"BUF 26","BUF 18","","BAL 28; BAL 36; BAL 26","2018",1,"CC","09/09/2018","13:00:00","BAL","BUF","(12:09) (Punt formation) C.Bojorquez punts 50 yards to BAL 29, Center-R.Ferguson. J.Grant to BAL 30 for 1 yard (A.Holmes).",14,"BUF",46903,46532,"12:09:00","","",NA,49,"Rain Temp: 61° F, Humidity: 97%, Wind: ENE 12 mph",-2.02461912529543,0.490832262206823,"J.Grant","C.Bojorquez","outdoors","John Harbaugh","Sean McDermott",3.89588975906372,4.91199209344316,8.38435173034668,5.73074452761785,-4.73074452761785
"7",2018090900,3079,41.39,1.4,5.62,"5",16.5523563277257,8.07,2.56,17.6102952842932,8.24,2.33,18.9812776176948,8.12,4.07,19.7537844475432,9.09,0.93,21.1236597207965,7.55,1.2,22.7818743741598,7.66,1.48,24.5694607185424,7.63,0.51,27.0426866268868,8.24,1.54,28.5678455610499,4.39,2.21,28.6412936160363,6.93,2.03,48.117033366574,5.54,1,"8","8","8","8","8","9","8","9","8","8","11","C","C","C","C","C","R","C","R","C","C","C","left","C","C","3",23,-40,46,6,"0",14.8065998797833,7.71,1.29,15.8087823693035,7.26,1.74,17.5902984625048,5.58,2.76,17.9174244800976,8.85,1.97,21.6805189052292,8.92,2.29,22.8582698382883,7.24,3.6,24.6356347594293,0.39,2.56,26.7632023494947,8.61,1.15,28.8560305655508,6.7,1,35.7705046092448,7.23,0.64,36,"grass",61,12,"","BAL 26","","BUF 16; BUF 29; BUF 30; BUF 26","2018",1,"CC","09/09/2018","13:00:00","BAL","BUF","(8:22) (Punt formation) S.Koch punts 46 yards to BUF 31, Center-M.Cox. J.Kerley to BUF 37 for 6 yards (M.Canady).",17,"BAL",31018,37228,"08:22:00","","",NA,40,"Rain Temp: 61° F, Humidity: 97%, Wind: ENE 12 mph",-1.7957897791639,0.166210315423086,"J.Kerley","S.Koch","outdoors","John Harbaugh","Sean McDermott",5.78990650177002,6.21056588473723,8.38435173034668,6.79494137228464,-0.794941372284643
"8",2018090900,3655,19.92,2.83,3.89,"1",14.0762850212689,6.59,2.76,15.121127603456,7.98,2.28,15.4601164290571,6.38,1.22,24.1223402678928,8.43,1.6,25.8569681130638,7.95,1.28,27.6135763710534,8.82,1.12,29.6103579850025,5.4,2.55,31.4385559464808,7.55,1.23,34.4205883157159,7.79,1.03,35.3942551835746,8.87,0.96,53.160332015517,5.49,0.82,"4","4","4","4","4","4","7","7","5","5","8","L","L","L","L","L","L","L","L","C","C","C","right","R","R","4",41,-37,50,9,"0",13.0221119638867,8.09,3.14,15.1984801871766,4.25,1.44,15.2251699497904,8.07,3.05,25.2792899425597,7.54,1.93,26.2250204957022,8.13,0.91,28.9219311250131,5.6,2.05,31.5755807547541,7.97,1.86,32.3019070644444,7.02,1.01,35.1266565445674,8.11,1.47,36.3402435324806,8.97,0.78,44,"grass",61,12,"","BAL 26","","BUF 30; BUF 26","2018",1,"CC","09/09/2018","13:00:00","BAL","BUF","(14:47) (Punt formation) S.Koch punts 50 yards to BUF 9, Center-M.Cox. M.Murphy to BUF 18 for 9 yards (M.Canady).",5,"BAL",31018,42573,"14:47:00","","",NA,41,"Rain Temp: 61° F, Humidity: 97%, Wind: ENE 12 mph",-0.597026408649981,-0.0136242180597037,"M.Murphy","S.Koch","outdoors","John Harbaugh","Sean McDermott",6.87575149536133,11.0139451940102,8.38435173034668,8.75801613990606,0.241983860093939
"9",2018090900,3851,21.06,1.74,2.9,"3",1.53182897217673,5.19,2.79,15.6771744903219,8.4,1.51,17.2419604453786,7.96,1.75,21.5262374789465,7.77,1.54,23.7221942492679,8.09,1.62,26.1330633489455,7.27,1.5,26.9816233759201,7.01,1.06,32.8059278180026,6.74,2.04,34.3392632419509,4.82,1.23,36.4702316965494,4.76,0.73,50.8997622784233,3.29,1.04,"3","6","6","6","6","5","5","9","8","8","9","R","R","R","R","R","C","C","R","C","C","R","left","L","L","4",35,37,54,0,"1",9.95881519057362,3.5,1.87,22.0257417582246,4.38,1.2,28.4036124463069,5.45,1.91,28.782670133259,5.87,0.56,33.0196683811331,5.36,1.24,33.1380174422068,4.34,2.05,33.9858750071261,2.6,1.76,34.6366280113986,3.24,1.72,34.7382282219459,2.61,2.45,54.7233204401926,3.39,1.08,46,"grass",61,12,"","BUF 26","","BAL 28; BAL 36; BAL 29","2018",1,"CFFG","09/09/2018","13:00:00","BAL","BUF","(12:05) (Punt formation) C.Bojorquez punts 54 yards to BAL 11, Center-R.Ferguson. J.Grant to BAL 11 for no gain (T.Jones).",8,"BUF",46903,46532,"12:05:00","","",NA,54,"Rain Temp: 61° F, Humidity: 97%, Wind: ENE 12 mph",-0.76829987578094,0.760327407158911,"J.Grant","C.Bojorquez","outdoors","John Harbaugh","Sean McDermott",1.68169951438904,10.9594369669864,8.38435173034668,7.00849607057404,-7.00849607057404
"10",2018090900,485,36.64,4.33,2.1,"6",7.96022612744135,8.9,2.72,10.8877775509973,8.52,0.75,16.4953872340118,8.49,1.75,19.1516291735194,8.49,1.91,22.93338614335,8.65,1.62,22.98187546742,9.19,1.38,28.0689045030261,8.81,1.03,30.9581427091484,8.54,0.88,32.5955978622881,8.13,0.95,34.8514002588131,6.69,1.9,44.8015680529153,5.07,0.93,"6","6","9","9","9","9","8","8","8","8","11","R","R","R","R","R","R","C","C","C","C","C","left","L","L","1",28,7,46,-1,"1",10.0714348530882,7.96,2.3,13.2947696482489,6.84,2.35,13.5812296939563,6.85,1.87,20.3677121935675,7.26,2.18,24.2943059172309,8.16,0.93,24.2953431751848,8.55,2.16,25.7591187737469,7.81,2.13,31.4423917665307,8.32,0.66,33.9403830267132,7.97,0.46,37.596655436355,5.82,0.45,7,"grass",61,12,"","BUF 42","BUF 57","BAL 36; BAL 29; BAL 26","2018",1,"CC","09/09/2018","13:00:00","BAL","BUF","(7:25) (Punt formation) C.Bojorquez punts 46 yards to BAL 26, Center-R.Ferguson. J.Grant to BAL 25 for -1 yards (P.DiMarco).",14,"BUF",46903,46532,"07:25:00","","",NA,47,"Rain Temp: 61° F, Humidity: 97%, Wind: ENE 12 mph",-1.73034931533039,0.332003765273839,"J.Grant","C.Bojorquez","outdoors","John Harbaugh","Sean McDermott",2.64427208900452,5.52633009245378,8.38435173034668,5.51831797060166,-6.51831797060166
